STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,N07240
1,AL,35401,1,5910,3730,220
1,AL,35401,2,2530,1290,370
1,AL,35401,3,730,390,30
1,AL,35401,4,290,120,0
1,AL,35401,5,350,100,0
1,AL,35401,6,160,40,0
1,AL,35404,1,3870,2490,160
1,AL,35404,2,2260,1140,370
1,AL,35404,3,930,390,70
1,AL,35404,4,420,110,0
1,AL,35404,5,440,70,0
1,AL,35404,6,120,20,0
1,AL,35405,1,7310,4390,370
1,AL,35405,2,5180,2400,860
1,AL,35405,3,2450,990,140
1,AL,35405,4,1420,330,0
1,AL,35405,5,1840,190,0
1,AL,35405,6,330,30,0
1,AL,35406,1,1610,1290,40
1,AL,35406,2,1050,640,110
1,AL,35406,3,790,360,40
1,AL,35406,4,630,190,0
1,AL,35406,5,1650,240,0
1,AL,35406,6,1240,100,0
1,AL,35441,1,170,80,0
1,AL,35441,2,130,50,40
1,AL,35441,3,60,30,0
1,AL,35441,4,40,0,0
1,AL,35441,5,40,0,0
1,AL,35441,6,0,0,0
1,AL,35442,1,950,450,60
1,AL,35442,2,510,180,120
1,AL,35442,3,160,60,0
1,AL,35442,4,80,30,0
1,AL,35442,5,80,0,0
1,AL,35442,6,20,0,0
1,AL,35443,1,380,190,0
1,AL,35443,2,200,50,60
1,AL,35443,3,80,30,0
1,AL,35443,4,0,0,0
1,AL,35443,5,30,0,0
1,AL,35443,6,0,0,0
1,AL,35444,1,530,310,30
1,AL,35444,2,400,160,70
1,AL,35444,3,260,60,30
1,AL,35444,4,180,40,0
1,AL,35444,5,180,0,0
1,AL,35444,6,0,0,0
1,AL,35446,1,300,170,0
1,AL,35446,2,250,100,70
1,AL,35446,3,120,50,0
1,AL,35446,4,80,0,0
1,AL,35446,5,90,0,0
1,AL,35446,6,0,0,0
1,AL,35447,1,590,270,50
1,AL,35447,2,310,110,60
1,AL,35447,3,130,40,0
1,AL,35447,4,80,20,0
1,AL,35447,5,120,0,0
1,AL,35447,6,0,0,0
1,AL,35452,1,520,330,0
1,AL,35452,2,400,170,90
1,AL,35452,3,260,90,0
1,AL,35452,4,180,0,0
1,AL,35452,5,220,0,0
1,AL,35452,6,30,0,0
1,AL,35453,1,1720,1020,80
1,AL,35453,2,1260,560,200
1,AL,35453,3,730,230,60
1,AL,35453,4,480,70,0
1,AL,35453,5,480,50,0
1,AL,35453,6,70,0,0
1,AL,35456,1,700,420,40
1,AL,35456,2,520,220,80
1,AL,35456,3,270,60,30
1,AL,35456,4,150,20,0
1,AL,35456,5,150,0,0
1,AL,35456,6,30,0,0
1,AL,35458,1,80,50,0
1,AL,35458,2,60,30,0
1,AL,35458,3,40,0,0
1,AL,35458,4,20,0,0
1,AL,35458,5,30,0,0
1,AL,35458,6,0,0,0
1,AL,35459,1,140,70,20
1,AL,35459,2,100,40,0
1,AL,35459,3,60,20,0
1,AL,35459,4,0,0,0
1,AL,35459,5,20,0,0
1,AL,35459,6,0,0,0
1,AL,35460,1,120,50,30
1,AL,35460,2,60,30,0
1,AL,35460,3,30,0,0
1,AL,35460,4,0,0,0
1,AL,35460,5,0,0,0
1,AL,35460,6,0,0,0
1,AL,35461,1,260,140,0
1,AL,35461,2,170,70,50
1,AL,35461,3,110,40,0
1,AL,35461,4,60,0,0
1,AL,35461,5,70,0,0
1,AL,35461,6,0,0,0
1,AL,35462,1,1010,490,40
1,AL,35462,2,470,170,80
1,AL,35462,3,160,60,0
1,AL,35462,4,80,40,0
1,AL,35462,5,100,0,0
1,AL,35462,6,0,0,0
1,AL,35463,1,270,150,0
1,AL,35463,2,230,110,60
1,AL,35463,3,110,50,0
1,AL,35463,4,70,0,0
1,AL,35463,5,100,0,0
1,AL,35463,6,0,0,0
1,AL,35464,1,110,50,0
1,AL,35464,2,50,30,0
1,AL,35464,3,20,0,0
1,AL,35464,4,0,0,0
1,AL,35464,5,0,0,0
1,AL,35464,6,0,0,0
1,AL,35466,1,750,440,40
1,AL,35466,2,590,240,100
1,AL,35466,3,360,100,50
1,AL,35466,4,230,40,0
1,AL,35466,5,280,0,0
1,AL,35466,6,20,0,0
1,AL,35469,1,50,40,0
1,AL,35469,2,40,0,0
1,AL,35469,3,30,0,0
1,AL,35469,4,0,0,0
1,AL,35469,5,0,0,0
1,AL,35469,6,0,0,0
1,AL,35470,1,920,550,50
1,AL,35470,2,450,200,100
1,AL,35470,3,190,80,0
1,AL,35470,4,110,30,0
1,AL,35470,5,160,20,0
1,AL,35470,6,30,0,0
1,AL,35473,1,2200,1460,90
1,AL,35473,2,1790,900,240
1,AL,35473,3,1170,450,70
1,AL,35473,4,840,160,0
1,AL,35473,5,1080,110,0
1,AL,35473,6,170,0,0
1,AL,35474,1,1020,590,60
1,AL,35474,2,790,330,170
1,AL,35474,3,420,130,30
1,AL,35474,4,280,40,0
1,AL,35474,5,330,20,0
1,AL,35474,6,40,0,0
1,AL,35475,1,1860,1340,60
1,AL,35475,2,1270,600,150
1,AL,35475,3,1030,290,90
